date,daily_quantity_실리콘_계란찜기(소),daily_quantity_실리콘_뒤짐개,daily_quantity_실리콘_볶음주걱,daily_quantity_내열장갑,daily_quantity_실리콘_계란찜기(대),daily_quantity_실리콘_도마(대),daily_quantity_실리콘_냄비잡이,daily_quantity_실리콘_스테인리스집게(소),daily_quantity_오픈수납함,daily_quantity_실리콘_계란찜기(중),daily_quantity_실리콘_도마(중),daily_quantity_실리콘_멀티스푼,daily_quantity_실리콘_비누받침,daily_quantity_실리콘_스테인리스집게(대),daily_quantity_실리콘_다용도 오일브러쉬,daily_quantity_실리콘_덮개세트_샤크
2022-06-18 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-19 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-20 0:00,60,0,0,0,0,0,0,0,474,0,0,0,0,0,0,0
2022-06-21 0:00,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2022-06-22 0:00,0,0,10,15,0,0,0,0,159,0,0,0,0,0,0,0
2022-06-23 0:00,0,0,10,60,3,20,6,0,4,0,12,0,0,0,0,0
2022-06-24 0:00,0,40,20,0,0,10,0,0,6,0,6,0,0,0,0,0
2022-06-25 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-26 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-27 0:00,0,0,0,0,0,0,0,0,12,0,0,0,0,40,0,-1
2022-06-28 0:00,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
2022-06-29 0:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-06-30 0:00,6,25,11,0,0,0,0,2,420,5,0,7,0,0,0,0
2022-07-01 0:00,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-02 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-03 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-04 0:00,0,0,0,0,0,0,0,0,170,0,0,0,0,20,0,0
2022-07-05 0:00,0,0,0,0,0,7,0,4,2,0,7,0,0,3,0,0
2022-07-06 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-07 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-08 0:00,0,0,60,20,0,7,0,0,0,0,6,20,0,0,0,0
2022-07-09 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-10 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-11 0:00,0,0,0,5,0,0,0,0,0,0,0,0,0,40,0,0
2022-07-12 0:00,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
2022-07-13 0:00,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2022-07-14 0:00,0,0,0,0,0,40,0,0,12,0,30,0,0,0,0,0
2022-07-15 0:00,0,60,0,0,0,0,0,0,120,0,0,0,0,0,0,0
2022-07-16 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-17 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-18 0:00,0,0,0,0,1,0,0,0,77,0,0,30,0,40,0,15
2022-07-19 0:00,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0
2022-07-20 0:00,0,0,0,0,0,13,40,36,2,0,0,10,0,36,0,0
2022-07-21 0:00,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0
